Sentence,Intent
"Please set an alarm for 1 PM today.","Setting Alarms"
"Can you remind me at 8:30 AM tomorrow?","Setting Alarms"
"Set an alarm for 12:00 PM today.","Setting Alarms"
"Wake me up at 7:00 PM tonight.","Setting Alarms"
"Set an alarm for 4 PM on Sunday.","Setting Alarms"
"Set a wake-up alarm for 6:30 AM tomorrow.","Setting Alarms"
"Remind me at 9:00 PM to check my email.","Setting Alarms"
"Set an alarm for 5:00 AM to go jogging.","Setting Alarms"
"Wake me up at 10:30 AM tomorrow.","Setting Alarms"
"Can you set an alarm for 2:30 PM today?","Setting Alarms"
"Set an alarm at 8:15 AM.","Setting Alarms"
"Set an alarm for 6:45 AM tomorrow.","Setting Alarms"
"Please remind me at 7:30 PM.","Setting Alarms"
"Wake me up at 7:45 AM tomorrow.","Setting Alarms"
"Set an alarm for 9:00 AM on Wednesday.","Setting Alarms"
"Can you remind me at 10:00 AM tomorrow?","Setting Alarms"
"Set an alarm for 3:15 PM today.","Setting Alarms"
"Please set a wake-up alarm for 5:00 AM.","Setting Alarms"
"Set an alarm for 4:15 PM today.","Setting Alarms"
"Can you remind me at 10 PM tonight?","Setting Alarms"
"Please set an alarm for 11:45 AM.","Setting Alarms"
"Wake me at 5 AM tomorrow.","Setting Alarms"
"Set an alarm for 12:30 PM tomorrow.","Setting Alarms"
"Please remind me to call John at 6 PM.","Setting Alarms"
"Set an alarm for 2:00 PM tomorrow.","Setting Alarms"
"Can you set an alarm for 9:45 AM on Saturday?","Setting Alarms"
"Wake me up at 6:00 PM tomorrow.","Setting Alarms"
"Can you remind me at 12:00 PM today?","Setting Alarms"
"Set an alarm for 3:30 PM.","Setting Alarms"
"Please set a reminder for 5:30 PM to prepare for the meeting.","Setting Alarms"
"Set an alarm at 10:15 AM.","Setting Alarms"
"Wake me up at 8:45 AM.","Setting Alarms"
"Set an alarm for 7:30 AM tomorrow.","Setting Alarms"
"Can you remind me at 4:00 PM today?","Setting Alarms"
"Set an alarm for 1:15 PM tomorrow.","Setting Alarms"
"Wake me at 3:45 PM.","Setting Alarms"
"Please set an alarm at 10:00 PM tonight.","Setting Alarms"
"Can you remind me at 1:00 PM tomorrow?","Setting Alarms"
"Set an alarm for 6:30 AM on Sunday.","Setting Alarms"
"Wake me up at 11:00 AM tomorrow.","Setting Alarms"
"Set an alarm for 7:00 AM sharp.","Setting Alarms"
"Can you set an alarm at 2:45 PM?","Setting Alarms"
"Please wake me up at 4:45 AM tomorrow.","Setting Alarms"
"Set an alarm for 5:45 PM today.","Setting Alarms"
"Can you remind me at 12:15 PM?","Setting Alarms"
"Set an alarm at 8:30 AM.","Setting Alarms"
"Please remind me at 7:00 AM tomorrow.","Setting Alarms"
"Wake me at 9:15 PM tonight.","Setting Alarms"
"Can you set an alarm for 3:00 AM?","Setting Alarms"
"Set an alarm at 1:00 AM.","Setting Alarms"
"Wake me up at 7:30 PM tonight.","Setting Alarms"
"Please remind me to take a break at 2:00 PM.","Setting Alarms"
"Set an alarm for 4:00 AM.","Setting Alarms"
"Can you wake me up at 3:00 PM tomorrow?","Setting Alarms"
"Please set a reminder for 7:45 AM.","Setting Alarms"
"Set an alarm at 5:15 AM tomorrow.","Setting Alarms"
"Wake me up at 11:30 AM.","Setting Alarms"
"Set an alarm for 9:30 AM today.","Setting Alarms"
"Please wake me up at 1:45 PM tomorrow.","Setting Alarms"
"Set an alarm at 6:15 PM.","Setting Alarms"
"Can you set an alarm for 12:00 AM tonight?","Setting Alarms"
"Set an alarm for 7:00 PM tomorrow.","Setting Alarms"
"Please wake me up at 4:00 PM.","Setting Alarms"
"Set an alarm for 1:45 PM tomorrow.","Setting Alarms"
"Can you set a wake-up alarm at 5:15 PM?","Setting Alarms"
"Set an alarm for 7:30 AM.","Setting Alarms"
"Please wake me at 5:00 PM tomorrow.","Setting Alarms"
"Set an alarm at 9:00 AM on Friday.","Setting Alarms"
"Can you remind me at 9:30 PM?","Setting Alarms"
"Wake me up at 2:00 AM tomorrow.","Setting Alarms"
"Set an alarm for 3:15 AM.","Setting Alarms"
"Please remind me at 8:45 PM tonight.","Setting Alarms"
"Set an alarm at 4:30 PM tomorrow.","Setting Alarms"
"Wake me up at 6:00 PM today.","Setting Alarms"
"Set an alarm for 2:00 AM.","Setting Alarms"
"Please remind me at 9:00 AM tomorrow.","Setting Alarms"
"Set an alarm for 11:15 AM tomorrow.","Setting Alarms"
"Can you wake me at 3:30 AM?","Setting Alarms"
"Set an alarm for 1:30 PM today.","Setting Alarms"
"Please wake me up at 10:00 PM tonight.","Setting Alarms"
"Wake me up at 7:15 PM tomorrow.","Setting Alarms"
"Set an alarm at 5:30 AM on Thursday.","Setting Alarms"
"Please set an alarm for 6:45 AM.","Setting Alarms"
"Wake me up at 9:30 PM tomorrow.","Setting Alarms"
"Can you remind me at 5:45 AM tomorrow?","Setting Alarms"
"Set an alarm for 3:00 PM on Wednesday.","Setting Alarms"
"Please wake me up at 6:30 PM tomorrow.","Setting Alarms"
"Set an alarm at 9:45 AM tomorrow.","Setting Alarms"
"Can you set an alarm at 5:00 PM?","Setting Alarms"
"Please wake me at 7:45 AM tomorrow.","Setting Alarms"
"Set an alarm for 2:00 PM tomorrow.","Setting Alarms"
"Wake me at 8:45 PM tomorrow.","Setting Alarms"
"Please remind me at 12:30 PM.","Setting Alarms"
"Set an alarm for 10:30 PM.","Setting Alarms"
"Wake me up at 5:00 PM on Sunday.","Setting Alarms"
"Set an alarm at 1:00 PM tomorrow.","Setting Alarms"
"Please set an alarm for 7:45 PM today.","Setting Alarms"
"Can you remind me at 6:00 PM tomorrow?","Setting Alarms"
"Set an alarm at 5:45 PM tomorrow.","Setting Alarms"
"Wake me up at 9:30 AM tomorrow.","Setting Alarms"
"Please remind me at 4:30 PM tomorrow.","Setting Alarms"
"Set an alarm for 7:00 PM today.","Setting Alarms"
"Can you wake me at 1:00 PM tomorrow?","Setting Alarms"
"Set an alarm for 9:00 PM today.","Setting Alarms"
"Wake me at 2:30 AM tomorrow.","Setting Alarms"
"Please set a reminder for 5:00 AM tomorrow.","Setting Alarms"
"Set an alarm at 10:00 PM tomorrow.","Setting Alarms"
"Wake me at 11:45 AM.","Setting Alarms"
"Please remind me at 6:30 PM tomorrow.","Setting Alarms"
"Set an alarm for 7:00 AM today.","Setting Alarms"
"Can you wake me up at 6:15 AM?","Setting Alarms"
"Set an alarm for 5:00 sharp tomorrow.","Setting Alarms"
Call John.,Calling a Person
Can you dial Mark's number?,Calling a Person
Please call Sarah right now.,Calling a Person
"I need to call Robert, his number is in my contacts.",Calling a Person
Dial Sairas number.,Calling a Person
Please call my mom.,Calling a Person
Please call 0333-222-4319.,Calling a Person
Please call +92 333 2138254.,Calling a Person
Please call 03368317279.,Calling a Person
Make a call to 0339-6001414.,Calling a Person
Can you ring up Jane on her cell?,Calling a Person
Could you call Fatima's cell phone?,Calling a Person
Make a call to Peter at his office.,Calling a Person
Give Asmeer a ring at his workplace.,Calling a Person
Can you connect me to Ali on his home number?,Calling a Person
Call my dad on his mobile phone.,Calling a Person
"Please make a phone call to Anna, her number's saved.",Calling a Person
Dial my friend Steve at 555-0123.,Calling a Person
My pal Steve's number is 03332224319..,Calling a Person
Could you call Chris on Skype?,Calling a Person
"Call Lisa, please.",Calling a Person
Please call Mike's number for a business update.,Calling a Person
"Make a call to the office, it’s urgent.",Calling a Person
Connect me to my brother in California.,Calling a Person
"Call Tom's mobile, it’s an emergency.",Calling a Person
Please ring up Alex right away.,Calling a Person
Please give Shakeel a call immediately.,Calling a Person
Is it possible for you to call Mark?.,Calling a Person
Can you make a call to my friend in New York?,Calling a Person
Open Spotify.,Opening Applications
Can you launch Instagram?,Opening Applications
Please open WhatsApp.,Opening Applications
Open Google Chrome.,Opening Applications
Can you start the weather app for me?,Opening Applications
Launch YouTube.,Opening Applications
Open the calendar app and show me my meetings.,Opening Applications
Start the music player.,Opening Applications
Can you open Gmail?,Opening Applications
Please open Facebook.,Opening Applications
Launch the camera app.,Opening Applications
Open Twitter.,Opening Applications
Can you run the Notes app?,Opening Applications
Start the Maps app to check the route.,Opening Applications
Please open the calculator.,Opening Applications
Open Slack.,Opening Applications
Can you launch the clock app for a timer?,Opening Applications
Start my email app to check for updates.,Opening Applications
Please open Netflix for me.,Opening Applications
Open the settings app.,Opening Applications
Remind me to take my medicine at 9 AM.,Setting Reminders
Please remind me to call John at 3 PM.,Setting Reminders
Set a reminder for my meeting at 2:00 PM today.,Setting Reminders
Remind me to pick up groceries at 4 PM.,Setting Reminders
Please set a reminder for my dentist appointment at 10 AM tomorrow.,Setting Reminders
Can you remind me to buy tickets by 6 PM?,Setting Reminders
Remind me to call my mom in an hour.,Setting Reminders
Please remind me to pick up the dry cleaning later.,Setting Reminders
Set a reminder to pay the bills at 5 PM today.,Setting Reminders
Can you remind me to check my email at noon?,Setting Reminders
Remind me to make dinner at 7 PM.,Setting Reminders
Please remind me to water the plants in 30 minutes.,Setting Reminders
Remind me to finish my report at 5:30 PM.,Setting Reminders
Can you remind me to buy groceries at 8 AM tomorrow?,Setting Reminders
Please remind me to schedule the meeting at 9:30 AM.,Setting Reminders
Remind me to pay my rent by the 1st of the month.,Setting Reminders
Can you remind me to call the plumber at 4 PM?,Setting Reminders
Set a reminder to finish the presentation by 3 PM.,Setting Reminders
Remind me to check the car's oil level tomorrow.,Setting Reminders
Can you remind me to pack my bag for the trip?,Setting Reminders
Search for the nearest coffee shop.,Browsing the Web
Can you look up the weather today?,Browsing the Web
Find me a good recipe for pasta.,Browsing the Web
Search for the latest news on technology.,Browsing the Web
Look up how to tie a tie.,Browsing the Web
Find a tutorial on how to code in Python.,Browsing the Web
Search for the best restaurants near me.,Browsing the Web
Find me a new workout routine.,Browsing the Web
Search for the nearest gym in my area.,Browsing the Web
Can you find reviews for the latest iPhone?,Browsing the Web
Look up how to change a tire.,Browsing the Web
Search for the best travel destinations in Europe.,Browsing the Web
Find me information on the stock market.,Browsing the Web
"Search for a new car under $20,000.",Browsing the Web
Find a good movie to watch tonight.,Browsing the Web
Search for the latest trends in fashion.,Browsing the Web
Can you find a good deal on a new laptop?,Browsing the Web
Look up how to fix a leaky faucet.,Browsing the Web
Search for news on the next Olympics.,Browsing the Web
Find a tutorial on playing the guitar.,Browsing the Web
