text,label
Please put on some relaxing music now,8
Open Google Maps,4
Please remind me to call mom tomorrow at 9 PM now,1
I need to call my sister,3
Start a timer for 1 hour now,6
Can you play the latest hits?,8
Start Spotify,4
Start a timer for 1 hour,6
Please launch instagram,4
Start a timer for 1 hour now,6
Wake me up at 6:30 AM tomorrow,0
Fetch my contact information for Emily,2
Please i need the notes app to be opened now,4
Set a 20-minute timer,6
Please make a call to sarah now,3
Send a message to John,5
What is scheduled for this week?,7
Please set a countdown for 30 minutes now,6
Put on some relaxing music,8
Please who is john in my contacts? now,2
What's on my calendar for today?,7
Set an alarm for 7 AM now,0
Please open google maps now,4
Put on some relaxing music,8
Please what's on my calendar for today?,7
Please send an email to sarah,5
Start Google Chrome,4
Please set a countdown for 30 minutes,6
Send a message to John,5
Please remind me to call mom tomorrow at 9 PM,1
Make a call to Sarah now,3
Launch YouTube now,4
Set a 20-minute timer now,6
Start playing my favorite playlist now,8
Who is John in my contacts?,2
Can you play the latest hits? now,8
Can you play the latest hits? now,8
Please remind me to buy groceries at 5 pm,1
Please set a 20-minute timer,6
Please put on some relaxing music now,8
Find Jane's phone number,2
Please open whatsapp,4
Remind me to buy groceries at 5 PM,1
Please open google maps,4
Please i need an alarm for 5:45 am,0
Please remind me to call mom tomorrow at 9 PM now,1
Please can you open my calendar? now,4
Please show my appointments for this month,7
Call mom right now,3
Send an email to Sarah,5
Fetch my contact information for Emily,2
Launch YouTube now,4
Play music on Spotify,8
Launch YouTube now,4
Can you dial David's number?,3
Open Google Maps now,4
Please show me my calendar,7
What is scheduled for this week?,7
Call John now,3
Please can you show my events for tomorrow?,7
Message Peter and tell him I'll be late now,5
Open Google Maps,4
Please remind me to call mom tomorrow at 9 PM,1
Call John now,3
Please what is scheduled for this week? now,7
Show me my calendar now,7
Please start spotify,4
Please set a timer for 15 minutes,6
Please i need to call my sister,3
Can you play the latest hits?,8
Please can you set a timer for 10 minutes? now,6
Please message peter and tell him i'll be late,5
Send a message to John now,5
Please send a message to Mom,5
Please wake me up at 6:30 am tomorrow now,0
Please can you play the latest hits?,8
Can you email James about the meeting?,5
Remind me to take my medicine tonight,1
Set a countdown for 30 minutes,6
Put on some relaxing music,8
Set a reminder to check the oven in 15 minutes,1
Please start spotify,4
Please set a reminder to check the oven in 15 minutes,1
Please launch instagram now,4
Open the weather app,4
What is scheduled for this week? now,7
Can you play some songs?,8
Please show my appointments for this month,7
Please can you show my events for tomorrow?,7
Message Peter and tell him I'll be late,5
Set an alarm for 8 PM,0
I need an alarm for 5:45 AM,0
Open Google Maps,4
Please set a countdown for 30 minutes,6
Who is John in my contacts?,2
Please can you set a timer for 10 minutes? now,6
Call John,3
Put on some relaxing music,8
Can you set a timer for 10 minutes?,6
Please set an alarm for 7 am now,0
Please find jane's phone number,2
I need an alarm for 5:45 AM,0
Please do i have a contact named david?,2
Please start a timer for 1 hour,6
Can you play some songs?,8
Please can you show my events for tomorrow? now,7
Who is John in my contacts?,2
Please play music on spotify now,8
Start Spotify,4
Set a countdown for 30 minutes now,6
Please send a message to john now,5
Start a timer for 1 hour now,6
Please start a timer for 1 hour now,6
Please launch youtube,4
Open Facebook,4
Please set an alarm for 7 am,0
Can you email James about the meeting?,5
Please set an alarm for 8 pm,0
Open Facebook,4
Please set an alarm for 7 am now,0
Message Peter and tell him I'll be late,5
Do I have a contact named David?,2
I need to call my sister now,3
Start Spotify now,4
Launch Instagram,4
Please can you set a timer for 10 minutes?,6
Set an alarm for 7 AM now,0
Start Spotify,4
Do I have a contact named David?,2
Can you open my calendar?,4
Please i need an alarm for 5:45 am,0
Please please show my appointments for this month,7
What is scheduled for this week?,7
Find Jane's phone number now,2
Can you play the latest hits?,8
Open WhatsApp,4
Launch YouTube,4
Launch Instagram,4
Set a reminder for my doctor's appointment at 10 AM,1
Set a 20-minute timer,6
Please remind me to call mom tomorrow at 9 PM,1
Set an alarm for 7 AM,0
Please set a reminder to check the oven in 15 minutes now,1
Send a message to John,5
Please find jane's phone number,2
Send an email to Sarah,5
Please show me my calendar,7
Can you play some songs?,8
Can you play the latest hits?,8
Please can you dial david's number?,3
Please remind me to take my medicine tonight now,1
Please i need the notes app to be opened,4
Set an alarm for 8 PM now,0
Start playing my favorite playlist,8
Put on some relaxing music now,8
Remind me to buy groceries at 5 PM,1
Set an alarm for 8 PM now,0
Please what is sarah's number?,2
Find Jane's phone number,2
Play music on Spotify,8
Set an alarm for 12 noon,0
Set a 20-minute timer,6
What's on my calendar for today? now,7
Launch Instagram,4
Please can you play some songs? now,8
What is scheduled for this week?,7
Please open whatsapp,4
I need the notes app to be opened now,4
Set an alarm for 7 AM,0
Please set a countdown for 30 minutes,6
Do I have a contact named David?,2
I need to call my sister,3
Can you set a timer for 10 minutes?,6
Set a reminder for my doctor's appointment at 10 AM,1
Message Peter and tell him I'll be late now,5
I need to call my sister,3
Set a reminder to check the oven in 15 minutes now,1
Please send a message to Mom,5
Can you email James about the meeting?,5
Please call john,3
Send a message to John now,5
Please what is sarah's number?,2
Please i need an alarm for 5:45 am now,0
Please can you open my calendar? now,4
Can you dial David's number?,3
Please launch youtube,4
Open WhatsApp,4
Set an alarm for 8 PM now,0
Please can you email james about the meeting?,5
Set an alarm for 8 PM,0
Remind me to buy groceries at 5 PM now,1
Send an email to Sarah now,5
What's on my calendar for today?,7
Start playing my favorite playlist,8
Fetch my contact information for Emily,2
Who is John in my contacts?,2
Set an alarm for 12 noon now,0
Launch Instagram,4
Can you open my calendar?,4
Send a message to John,5
Set an alarm for 8 PM,0
Can you open my calendar?,4
Please start google chrome,4
Put on some relaxing music,8
Set an alarm for 12 noon,0
Can you play some songs?,8
Show me my calendar now,7
Please start google chrome,4
Set a 20-minute timer now,6
Show me my calendar now,7
What is scheduled for this week?,7
Please find jane's phone number now,2
Please start a timer for 1 hour now,6
What is scheduled for this week?,7
Please call john now,3
Please set a countdown for 30 minutes,6
Launch YouTube,4
What's on my calendar for today?,7
Set a 20-minute timer,6
Can you show my events for tomorrow?,7
Wake me up at 6:30 AM tomorrow,0
Call John now,3
Please open whatsapp now,4
Please make a call to sarah,3
Open Facebook,4
Set a countdown for 30 minutes,6
I need an alarm for 5:45 AM,0
Wake me up at 6:30 AM tomorrow,0
Please call john,3
Start playing my favorite playlist,8
I need the notes app to be opened now,4
What's on my calendar for today?,7
Please set a 20-minute timer,6
Show me my calendar,7
Remind me to take my medicine tonight,1
Can you play some songs?,8
Please set a reminder to check the oven in 15 minutes,1
Remind me to buy groceries at 5 PM,1
Please set a 20-minute timer now,6
Please set a 20-minute timer now,6
Please remind me to call mom tomorrow at 9 PM,1
Please what is sarah's number?,2
Please put on some relaxing music,8
Start Spotify now,4
Please start google chrome,4
Start Google Chrome,4
Show me my calendar now,7
Please set a timer for 15 minutes,6
Set a 20-minute timer,6
Please call mom right now now,3
Please can you show my events for tomorrow? now,7
Please can you play some songs?,8
Can you dial David's number?,3
Remind me to buy groceries at 5 PM,1
Please set a timer for 15 minutes now,6
Set a reminder to check the oven in 15 minutes now,1
Set an alarm for 7 AM now,0
Remind me to buy groceries at 5 PM now,1
Can you show my events for tomorrow?,7
Please please show my appointments for this month,7
Start a timer for 1 hour,6
Please what is sarah's number?,2
Please call mom right now,3
Remind me to buy groceries at 5 PM,1
Please can you show my events for tomorrow?,7
Please open whatsapp now,4
Please set a 20-minute timer,6
Please set a countdown for 30 minutes,6
Please can you dial david's number?,3
Can you play some songs? now,8
Set a timer for 15 minutes,6
Please what's on my calendar for today? now,7
Set a timer for 15 minutes now,6
Please launch instagram,4
Call mom right now now,3
Launch Instagram,4
Can you play the latest hits? now,8
Please set a countdown for 30 minutes now,6
Can you play some songs?,8
I need an alarm for 5:45 AM,0
Set a reminder to check the oven in 15 minutes,1
Launch Instagram,4
Can you dial David's number? now,3
I need the notes app to be opened now,4
Open Facebook,4
Please message peter and tell him i'll be late now,5
Make a call to Sarah,3
Please start google chrome,4
Open Google Maps,4
Remind me to buy groceries at 5 PM,1
Call mom right now now,3
Open Google Maps now,4
Remind me to buy groceries at 5 PM,1
Make a call to Sarah,3
Send an email to Sarah,5
Set a reminder for my doctor's appointment at 10 AM,1
Open Facebook,4
Set a 20-minute timer now,6
Please set a 20-minute timer,6
Set an alarm for 8 PM,0
Set a timer for 15 minutes now,6
Do I have a contact named David?,2
Please start google chrome,4
Call John now,3
Please what is sarah's number?,2
Message Peter and tell him I'll be late,5
Call mom right now,3
Please can you play the latest hits?,8
Please can you email james about the meeting?,5
Open WhatsApp,4
Please open google maps,4
Message Peter and tell him I'll be late now,5
Please remind me to call mom tomorrow at 9 PM,1
Can you set a timer for 10 minutes?,6
Open the weather app,4
Please do i have a contact named david? now,2
I need the notes app to be opened,4
Can you dial David's number?,3
Remind me to buy groceries at 5 PM,1
Please remind me to take my medicine tonight,1
Set a timer for 15 minutes now,6
Call mom right now,3
Remind me to buy groceries at 5 PM,1
Set an alarm for 12 noon,0
Please launch youtube,4
Please show my appointments for this month,7
Wake me up at 6:30 AM tomorrow,0
Please can you dial david's number?,3
Start a timer for 1 hour now,6
Start a timer for 1 hour now,6
Send an email to Sarah now,5
Set a countdown for 30 minutes,6
Set a reminder for my doctor's appointment at 10 AM now,1
Fetch my contact information for Emily now,2
Please set an alarm for 8 pm,0
Wake me up at 6:30 AM tomorrow,0
Set an alarm for 12 noon now,0
Please set a timer for 15 minutes,6
Open Facebook,4
Set a reminder to check the oven in 15 minutes,1
Please show my appointments for this month,7
Call mom right now,3
Please make a call to sarah now,3
Please remind me to call mom tomorrow at 9 PM,1
Open Google Maps,4
Please please send a message to mom,5
Please remind me to take my medicine tonight now,1
Set an alarm for 12 noon,0
Can you dial David's number?,3
I need the notes app to be opened,4
Call mom right now,3
Set an alarm for 7 AM now,0
Set an alarm for 7 AM now,0
Do I have a contact named David?,2
Who is John in my contacts?,2
Set a reminder for my doctor's appointment at 10 AM,1
I need to call my sister now,3
Can you show my events for tomorrow? now,7
Please find jane's phone number,2
Please please show my appointments for this month,7
Show me my calendar,7
Please start spotify,4
Can you play the latest hits?,8
Please what is sarah's number? now,2
Can you email James about the meeting?,5
Set an alarm for 12 noon,0
Wake me up at 6:30 AM tomorrow now,0
Show me my calendar,7
Open Facebook,4
Please play music on spotify,8
Please can you play some songs?,8
Please remind me to buy groceries at 5 pm,1
Please message peter and tell him i'll be late now,5
Set a reminder to check the oven in 15 minutes,1
What is scheduled for this week?,7
Please find jane's phone number,2
Call John,3
Can you open my calendar?,4
Please wake me up at 6:30 am tomorrow now,0
Please show my appointments for this month,7
Send an email to Sarah,5
Please show my appointments for this month,7
Fetch my contact information for Emily,2
What is scheduled for this week?,7
Please start a timer for 1 hour now,6
Can you open my calendar?,4
Please remind me to take my medicine tonight now,1
Can you play the latest hits?,8
Can you play the latest hits?,8
Set a reminder for my doctor's appointment at 10 AM,1
Can you set a timer for 10 minutes?,6
Play music on Spotify,8
Fetch my contact information for Emily,2
Please set an alarm for 7 am now,0
Can you play some songs?,8
Make a call to Sarah,3
Can you set a timer for 10 minutes?,6
Launch YouTube now,4
Launch Instagram,4
Please send a message to Mom,5
Call mom right now,3
Start Spotify now,4
Please start google chrome,4
Please can you play the latest hits? now,8
Call John now,3
Please fetch my contact information for emily,2
Message Peter and tell him I'll be late,5
Please find jane's phone number,2
Please call mom right now now,3
Remind me to take my medicine tonight,1
Please set a reminder to check the oven in 15 minutes,1
I need the notes app to be opened,4
Fetch my contact information for Emily,2
Launch Instagram,4
Start playing my favorite playlist,8
Play music on Spotify now,8
I need an alarm for 5:45 AM now,0
Set an alarm for 12 noon,0
Please please remind me to call mom tomorrow at 9 pm,1
Please send a message to Mom,5
Please start google chrome,4
Start Spotify,4
I need to call my sister,3
Launch Instagram,4
Do I have a contact named David? now,2
Start a timer for 1 hour,6
Can you show my events for tomorrow?,7
Open Facebook now,4
Set a reminder to check the oven in 15 minutes,1
Please can you set a timer for 10 minutes?,6
Can you open my calendar? now,4
Please play music on spotify now,8
Please show my appointments for this month now,7
Can you show my events for tomorrow?,7
What's on my calendar for today?,7
Can you set a timer for 10 minutes?,6
Do I have a contact named David?,2
Please start spotify now,4
Please do i have a contact named david?,2
I need to call my sister,3
Start a timer for 1 hour,6
I need an alarm for 5:45 AM,0
Send an email to Sarah now,5
Open the weather app,4
Message Peter and tell him I'll be late,5
What is scheduled for this week?,7
Please launch instagram now,4
Please remind me to take my medicine tonight,1
Please start a timer for 1 hour,6
Please send a message to Mom,5
I need an alarm for 5:45 AM,0
Please send a message to Mom,5
Play music on Spotify,8
Please send a message to Mom,5
Open WhatsApp now,4
I need to call my sister,3
Set a countdown for 30 minutes,6
Wake me up at 6:30 AM tomorrow,0
What is Sarah's number? now,2
Can you set a timer for 10 minutes?,6
Fetch my contact information for Emily now,2
Please i need the notes app to be opened,4
Can you email James about the meeting?,5
Please set a countdown for 30 minutes now,6
Please start a timer for 1 hour,6
Find Jane's phone number,2
Set a timer for 15 minutes,6
Wake me up at 6:30 AM tomorrow,0
I need the notes app to be opened now,4
Do I have a contact named David?,2
What is Sarah's number? now,2
Please what is sarah's number?,2
Send a message to John,5
Do I have a contact named David? now,2
Please show my appointments for this month,7
Open the weather app now,4
Please remind me to call mom tomorrow at 9 PM,1
Start playing my favorite playlist,8
Start a timer for 1 hour,6
Start playing my favorite playlist,8
What's on my calendar for today? now,7
Please send a message to Mom,5
I need to call my sister,3
Please send a message to john now,5
Can you show my events for tomorrow?,7
Set an alarm for 12 noon,0
Remind me to take my medicine tonight now,1
Can you open my calendar? now,4
Call mom right now,3
Show me my calendar now,7
Set an alarm for 8 PM now,0
Can you email James about the meeting?,5
Please what's on my calendar for today?,7
Send an email to Sarah now,5
Launch Instagram,4
Please show my appointments for this month,7
Please can you dial david's number?,3
Can you email James about the meeting?,5
Please can you play some songs?,8
Please set an alarm for 8 pm,0
Launch YouTube,4
Please can you set a timer for 10 minutes?,6
Show me my calendar,7
Please i need to call my sister,3
Start playing my favorite playlist,8
Set a reminder for my doctor's appointment at 10 AM,1
Set an alarm for 7 AM,0
Can you play some songs?,8
Call mom right now now,3
Start playing my favorite playlist,8
Launch YouTube now,4
Can you play the latest hits? now,8
Please can you dial david's number? now,3
Open WhatsApp now,4
Who is John in my contacts?,2
Start playing my favorite playlist,8
Can you play some songs?,8
Wake me up at 6:30 AM tomorrow,0
Please open facebook,4
Who is John in my contacts? now,2
Open the weather app now,4
Can you email James about the meeting? now,5
Please what is scheduled for this week?,7
Can you show my events for tomorrow? now,7
Please i need an alarm for 5:45 am,0
Please please send a message to mom now,5
Please put on some relaxing music now,8
Send a message to John,5
What's on my calendar for today?,7
Open the weather app,4
Remind me to take my medicine tonight,1
Please can you play the latest hits?,8
Call John,3
I need the notes app to be opened now,4
Open Facebook,4
Set a countdown for 30 minutes,6
Find Jane's phone number,2
Call John,3
What is Sarah's number?,2
Please set a reminder to check the oven in 15 minutes,1
Please please send a message to mom,5
Please call john,3
Set a countdown for 30 minutes now,6
Call mom right now,3
Who is John in my contacts? now,2
Please can you email james about the meeting?,5
Can you dial David's number?,3
Please play music on spotify now,8
Set an alarm for 8 PM,0
Remind me to take my medicine tonight,1
Find Jane's phone number,2
Set an alarm for 8 PM,0
Play music on Spotify,8
Play music on Spotify,8
Show me my calendar,7
Please send a message to john,5
Send a message to John,5
Launch YouTube,4
Remind me to buy groceries at 5 PM,1
Please remind me to call mom tomorrow at 9 PM,1
Please message peter and tell him i'll be late,5
Please i need an alarm for 5:45 am,0
Fetch my contact information for Emily,2
Please show me my calendar now,7
Please set a reminder for my doctor's appointment at 10 am now,1
Can you show my events for tomorrow? now,7
Please send a message to Mom now,5
What is scheduled for this week? now,7
Please put on some relaxing music now,8
Please what is sarah's number? now,2
Show me my calendar,7
Launch Instagram now,4
Launch Instagram,4
Set a reminder for my doctor's appointment at 10 AM,1
Set an alarm for 7 AM,0
Please i need an alarm for 5:45 am,0
Set an alarm for 12 noon now,0
Please set a 20-minute timer,6
Make a call to Sarah now,3
Open Google Maps,4
Set an alarm for 12 noon,0
Can you show my events for tomorrow? now,7
Can you email James about the meeting? now,5
Call mom right now,3
Set an alarm for 12 noon,0
Set a reminder for my doctor's appointment at 10 AM,1
Remind me to take my medicine tonight,1
Please who is john in my contacts?,2
Set a countdown for 30 minutes,6
Please start spotify now,4
Please set an alarm for 7 am now,0
Message Peter and tell him I'll be late now,5
Set a countdown for 30 minutes,6
Set a 20-minute timer,6
Please who is john in my contacts? now,2
Play music on Spotify,8
Can you play some songs?,8
Please what's on my calendar for today?,7
Set a 20-minute timer now,6
Please open whatsapp,4
Please open the weather app,4
Please can you email james about the meeting?,5
Can you open my calendar?,4
Can you dial David's number?,3
Please send a message to john,5
Start Spotify,4
Can you set a timer for 10 minutes? now,6
Send an email to Sarah now,5
Can you open my calendar?,4
Open the weather app,4
Message Peter and tell him I'll be late,5
Fetch my contact information for Emily now,2
Set an alarm for 8 PM now,0
Please can you dial david's number?,3
Please send a message to Mom,5
Please do i have a contact named david? now,2
Launch YouTube now,4
Please what is sarah's number?,2
Please remind me to take my medicine tonight,1
Set a reminder to check the oven in 15 minutes now,1
Call mom right now,3
Open Google Maps,4
Open Google Maps,4
Please start google chrome now,4
Please remind me to call mom tomorrow at 9 PM,1
Open the weather app now,4
Please what's on my calendar for today?,7
Do I have a contact named David? now,2
Start a timer for 1 hour,6
Please who is john in my contacts?,2
Play music on Spotify,8
Open Facebook,4
Please who is john in my contacts? now,2
Can you dial David's number? now,3
Please start google chrome,4
Start playing my favorite playlist,8
Find Jane's phone number now,2
Can you set a timer for 10 minutes? now,6
Please fetch my contact information for emily,2
Make a call to Sarah,3
Please show my appointments for this month,7
Make a call to Sarah,3
Please can you play some songs?,8
Start Google Chrome,4
Set an alarm for 7 AM,0
Can you open my calendar?,4
What is Sarah's number?,2
Play music on Spotify,8
Launch Instagram now,4
Please send a message to Mom,5
What is scheduled for this week? now,7
Open the weather app,4
Set a reminder for my doctor's appointment at 10 AM,1
Can you set a timer for 10 minutes?,6
Please open whatsapp,4
Open Google Maps,4
Find Jane's phone number,2
What's on my calendar for today?,7
Please i need an alarm for 5:45 am,0
Set a timer for 15 minutes,6
Please what is sarah's number?,2
Please please send a message to mom now,5
Please start a timer for 1 hour,6
I need an alarm for 5:45 AM now,0
Call John,3
Open the weather app,4
Set a reminder for my doctor's appointment at 10 AM,1
Start Google Chrome,4
Can you play some songs?,8
Can you play the latest hits?,8
Can you dial David's number?,3
Please show my appointments for this month now,7
Can you set a timer for 10 minutes?,6
Please start playing my favorite playlist,8
What's on my calendar for today?,7
Please start google chrome,4
Please fetch my contact information for emily now,2
Wake me up at 6:30 AM tomorrow,0
Can you show my events for tomorrow? now,7
Launch YouTube,4
Open Google Maps,4
Start a timer for 1 hour,6
Please show my appointments for this month,7
Please i need to call my sister,3
Set an alarm for 7 AM now,0
Please open google maps,4
What's on my calendar for today? now,7
Please can you dial david's number?,3
Please show my appointments for this month now,7
Open Facebook,4
Can you play some songs?,8
Please set an alarm for 8 pm now,0
Can you show my events for tomorrow?,7
Please launch youtube,4
What is scheduled for this week?,7
Please send a message to john,5
Set an alarm for 8 PM,0
Wake me up at 6:30 AM tomorrow,0
Do I have a contact named David?,2
Please please show my appointments for this month,7
Please can you open my calendar?,4
I need the notes app to be opened,4
Remind me to take my medicine tonight,1
Send an email to Sarah now,5
Call John,3
What is scheduled for this week?,7
Set an alarm for 12 noon,0
Can you open my calendar?,4
Remind me to buy groceries at 5 PM now,1
Can you email James about the meeting? now,5
Can you open my calendar?,4
Put on some relaxing music,8
Make a call to Sarah,3
Please please show my appointments for this month,7
Start playing my favorite playlist,8
Set a timer for 15 minutes,6
Play music on Spotify,8
Send an email to Sarah now,5
Start playing my favorite playlist now,8
Please open the weather app,4
Set an alarm for 7 AM now,0
Open WhatsApp,4
Set an alarm for 8 PM,0
Put on some relaxing music,8
Can you show my events for tomorrow?,7
Please i need the notes app to be opened,4
Open Google Maps,4
Please can you show my events for tomorrow?,7
Set a reminder for my doctor's appointment at 10 AM,1
Set an alarm for 12 noon,0
Send an email to Sarah,5
Please launch instagram,4
Remind me to take my medicine tonight,1
Please set a reminder to check the oven in 15 minutes,1
Please open the weather app now,4
Please send an email to sarah,5
Please set a reminder for my doctor's appointment at 10 am,1
Please start playing my favorite playlist,8
Set an alarm for 12 noon now,0
Please what is scheduled for this week?,7
I need an alarm for 5:45 AM now,0
Show me my calendar,7
What is Sarah's number?,2
Start playing my favorite playlist,8
Open the weather app,4
Show me my calendar,7
Open WhatsApp,4
Send an email to Sarah now,5
Can you show my events for tomorrow?,7
Call John,3
Set a reminder to check the oven in 15 minutes now,1
Open WhatsApp,4
Please please send a message to mom now,5
Remind me to buy groceries at 5 PM,1
Make a call to Sarah,3
Open the weather app now,4
Launch YouTube,4
I need to call my sister now,3
Send an email to Sarah,5
Message Peter and tell him I'll be late,5
Please open whatsapp,4
Set a timer for 15 minutes now,6
Please start spotify,4
Please please send a message to mom,5
Start playing my favorite playlist,8
Please remind me to call mom tomorrow at 9 PM,1
Put on some relaxing music,8
Start Google Chrome now,4
Remind me to buy groceries at 5 PM,1
Make a call to Sarah,3
Please remind me to take my medicine tonight now,1
What is Sarah's number?,2
Can you set a timer for 10 minutes?,6
Message Peter and tell him I'll be late,5
Remind me to take my medicine tonight,1
Please do i have a contact named david?,2
Set a reminder to check the oven in 15 minutes,1
I need the notes app to be opened,4
Start playing my favorite playlist,8
Who is John in my contacts?,2
Set a reminder for my doctor's appointment at 10 AM,1
Message Peter and tell him I'll be late,5
Show me my calendar,7
Start Spotify now,4
Please send a message to john,5
Remind me to buy groceries at 5 PM,1
I need the notes app to be opened,4
I need an alarm for 5:45 AM,0
Start Spotify now,4
Please message peter and tell him i'll be late,5
Please please remind me to call mom tomorrow at 9 pm,1
Wake me up at 6:30 AM tomorrow,0
Find Jane's phone number,2
Set an alarm for 12 noon,0
Open WhatsApp,4
Call John,3
Please remind me to take my medicine tonight,1
Please play music on spotify,8
Message Peter and tell him I'll be late now,5
Please set a 20-minute timer,6
Please show me my calendar now,7
Please remind me to call mom tomorrow at 9 PM,1
Open WhatsApp now,4
Please remind me to buy groceries at 5 pm,1
Please set a timer for 15 minutes,6
Please who is john in my contacts?,2
I need to call my sister now,3
Please wake me up at 6:30 am tomorrow now,0
What is scheduled for this week?,7
Can you open my calendar?,4
Please set an alarm for 8 pm,0
Open WhatsApp now,4
Please set a 20-minute timer,6
Open Google Maps,4
Set an alarm for 12 noon now,0
Open Google Maps,4
Please what is sarah's number? now,2
Who is John in my contacts?,2
Make a call to Sarah,3
Please find jane's phone number,2
Please set a timer for 15 minutes,6
Put on some relaxing music,8
Make a call to Sarah now,3
Please can you open my calendar?,4
Put on some relaxing music now,8
Please send a message to Mom,5
Find Jane's phone number now,2
Do I have a contact named David? now,2
Please please remind me to call mom tomorrow at 9 pm now,1
Please open facebook now,4
Please can you email james about the meeting?,5
Put on some relaxing music now,8
Please can you dial david's number? now,3
What's on my calendar for today?,7
Make a call to Sarah,3
Can you email James about the meeting? now,5
Please open facebook,4
Make a call to Sarah,3
Set a countdown for 30 minutes now,6
Please what's on my calendar for today?,7
Can you open my calendar?,4
Put on some relaxing music now,8
Play music on Spotify,8
Set a reminder for my doctor's appointment at 10 AM now,1
Please fetch my contact information for emily now,2
Wake me up at 6:30 AM tomorrow now,0
Launch YouTube now,4
Please start spotify,4
Please please show my appointments for this month now,7
Can you set a timer for 10 minutes?,6
Start a timer for 1 hour,6
Can you play the latest hits? now,8
Please wake me up at 6:30 am tomorrow,0
Can you email James about the meeting?,5
Please remind me to call mom tomorrow at 9 PM,1
Set a reminder for my doctor's appointment at 10 AM now,1
Call mom right now now,3
Please open facebook,4
Start Google Chrome now,4
What is Sarah's number? now,2
Please launch instagram,4
Please what is scheduled for this week?,7
Can you email James about the meeting?,5
Can you email James about the meeting? now,5
Please set a reminder for my doctor's appointment at 10 am,1
Open WhatsApp,4
Please call john,3
Can you play the latest hits? now,8
Open WhatsApp,4
Can you open my calendar?,4
Show me my calendar,7
Fetch my contact information for Emily,2
Set a timer for 15 minutes now,6
What is scheduled for this week?,7
Find Jane's phone number,2
Please show me my calendar,7
Please send a message to john,5
Wake me up at 6:30 AM tomorrow,0
Please remind me to call mom tomorrow at 9 PM,1
Can you dial David's number?,3
Set a 20-minute timer,6
Wake me up at 6:30 AM tomorrow,0
Please set a timer for 15 minutes,6
Wake me up at 6:30 AM tomorrow,0
Can you play some songs?,8
Launch YouTube,4
Who is John in my contacts?,2
Please send a message to Mom,5
Set a reminder to check the oven in 15 minutes,1
Start Google Chrome,4
Send a message to John,5
Please send an email to sarah now,5
Please set a timer for 15 minutes,6
Call mom right now,3
I need to call my sister,3
Please open the weather app,4
Can you show my events for tomorrow?,7
Please open the weather app now,4
Please can you set a timer for 10 minutes?,6
Please can you open my calendar?,4
Do I have a contact named David?,2
Set a reminder to check the oven in 15 minutes,1
Start Google Chrome,4
I need to call my sister,3
Start Google Chrome now,4
Call mom right now,3
Do I have a contact named David?,2
Start Google Chrome,4
Please send a message to Mom,5
Message Peter and tell him I'll be late now,5
Please remind me to take my medicine tonight now,1
Please can you play some songs? now,8
Please play music on spotify,8
